Fullname,Nationality,Age,Club,Caps,Goals,Date Joined,Contract Ends,,Birthsday,Start year,Best position,Goalkeeper,Defender Central,Defender Right,Defender Left,Wingback right,Wingback left,Defensive midfielder,Midfielder Central,Midfielder right,Midfielder left,Attacking Midfielder Central,Attacking Midfielder right,Attacking Midfielder left,Center Forward,Right Forward,Left Forward,Goalkeeper,Sweeper,Defender,Defensive midfield,Midfield Center,Support,Attack,Right,Left,Centre,Ability,Potential,Reputation,Big Occasion,Character,Consistency,Technique,Passing,Heading,Shooting,Flair,Dribbling,Tackling,Stamina,Strenght,Pace,Jumping,Inj Prone %,Set Pieces,Positioning,Off The Ball,Marking,Creativity,Adaptability,Aggression,Determination,Dirtyness,Influence
Jimmi Nielsen,Denmark,18,AaB,0,0,,,,6-8-1977,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,115,137,0,0,7,0,45,40,70,0,0,0,75,65,65,0,0,0,70,80,50,0,45,0,40,0,45,35
Jan Pedersen,Denmark,29,AaB,0,0,,,,12-11-1966,01-07-1996,,0,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,2,2,0,2,2,0,114,125,0,8,8,4,45,55,50,45,60,60,65,75,45,0,0,0,45,45,45,45,55,40,45,45,45,35
Jari Pedersen,Denmark,19,AaB,0,0,,,,2-9-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,2,2,2,2,114,-1,0,13,14,13,65,80,80,80,70,65,50,60,85,0,0,0,60,85,65,50,65,90,60,50,40,55
Henrik Rasmussen,Denmark,28,AaB,0,0,,,,13-6-1968,01-07-1996,,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,2,2,0,2,0,2,105,131,0,12,12,12,55,55,50,55,60,60,45,50,45,0,0,0,90,45,60,50,75,55,55,60,50,50
Ib Simonsen,Denmark,32,AaB,0,0,,,,3-4-1964,01-07-1996,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,110,149,0,10,11,14,55,50,65,40,50,50,70,45,45,35,0,0,50,60,50,60,55,50,50,75,65,90
Jesper Borup,Denmark,18,AaB,0,0,,,,25-10-1977,01-07-1996,,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,91,125,0,13,18,14,30,85,85,70,75,75,35,40,80,0,0,50,50,90,65,60,75,55,60,70,60,95
Thomas Thomasberg,Denmark,21,AaB,0,0,,,,15-10-1974,01-07-1996,,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,2,2,0,2,0,2,116,152,0,8,8,12,45,45,60,70,45,45,40,75,55,0,0,20,40,60,65,40,70,70,60,45,45,35
Lars Thomsen,Denmark,24,AaB,0,0,,,,27-4-1972,01-07-1996,,0,0,0,0,0,100,100,100,0,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,114,131,0,0,10,12,50,50,60,45,35,45,70,65,55,45,0,0,45,50,55,50,45,45,55,55,65,40
Peter Tranberg,Denmark,17,AaB,0,0,,,,28-7-1978,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,90,128,0,13,14,17,65,75,65,50,35,95,60,55,30,0,0,0,75,60,30,60,65,45,50,60,70,75
Lars Winde,Denmark,20,AaB,0,0,,,,3-12-1975,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,91,127,0,10,11,16,65,45,65,0,0,0,65,55,50,50,0,0,55,60,55,0,50,50,50,55,60,50
Torben Boye,Denmark,30,AaB,0,0,,,,2-5-1966,01-07-1996,,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,120,126,0,0,10,12,60,50,85,50,50,50,75,60,70,0,0,0,50,60,60,65,50,0,55,65,65,75
Thomas B?lum,Denmark,18,AaB,0,0,,,,5-6-1978,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,102,-1,0,13,18,9,20,75,30,60,50,65,90,80,45,60,0,45,45,70,90,75,60,30,60,60,90,70
Calle Facius,Denmark,25,AaB,0,0,,,,1-1-1971,01-07-1996,,0,0,0,0,100,0,100,100,100,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,108,118,0,9,9,14,50,50,60,45,50,50,60,60,55,0,0,0,50,55,60,65,50,65,65,65,70,50
S?ren Frederiksen,Denmark,24,Aab,0,0,,,,21-1-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,2,2,0,2,118,135,0,6,7,12,50,55,55,70,65,65,45,65,45,85,0,0,45,50,40,40,60,35,45,75,40,30
Allan Gaarde,Denmark,21,Aab,0,0,7,,,25-1-1975,01-07-1996,,0,100,0,0,0,0,50,100,0,0,50,0,0,100,0,0,0,0,2,1,2,1,2,0,0,2,85,125,0,12,8,14,55,55,60,60,50,45,40,50,50,60,0,0,60,50,45,65,40,70,50,65,50,75
Jesper Gr?nkjër,Denmark,18,AaB,0,0,,,,12-8-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,50,50,100,100,100,0,0,0,0,0,1,2,2,2,2,129,-1,130,16,18,19,75,70,95,55,85,80,40,60,70,85,0,0,60,100,65,45,80,75,60,65,50,70
Steffen H?jer,Denmark,23,AaB,1,0,,,,22-5-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,50,50,0,100,100,0,0,0,0,0,0,1,2,2,0,2,124,144,110,14,10,15,60,60,65,75,50,60,50,80,70,0,0,25,50,55,65,45,70,55,60,45,30,50
Henry Heeren,Netherlands,21,Aachen,0,0,,,,25-10-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,109,112,81,3,17,9,10,45,65,0,10,15,65,40,85,0,0,45,15,70,30,25,15,60,15,0,60,35
Martin Andersen,Denmark,23,Aalb. Chang,0,0,,,,31-3-1973,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,81,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Hofmann,Denmark,21,Aalb. Chang,0,0,,,,30-10-1974,01-07-1996,,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,2,2,0,0,2,2,92,99,0,10,10,14,45,40,50,50,45,40,65,55,50,85,0,0,45,40,45,60,35,50,55,40,45,60
Peter Hove,Denmark,20,Aalb. Chang,0,0,,,,10-6-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,2,2,2,2,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Larsen,Denmark,21,Aalb. Chang,0,0,,,,3-2-1975,01-07-1996,,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,2,2,0,2,0,2,87,117,0,13,9,12,50,40,45,45,45,60,50,55,50,0,0,0,55,45,40,45,45,45,50,55,50,50
Claus Ottosen,Denmark,29,Aalb. Chang,0,0,,,,23-2-1967,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Sand,Denmark,24,Aalb. Chang,0,0,,,,28-2-1972,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,2,2,0,2,2,2,86,98,0,14,10,4,45,40,40,50,45,50,55,45,50,70,0,0,40,40,40,50,35,40,50,60,50,45
Jesper Schau,Denmark,27,Aalb. Chang,0,0,,,,10-5-1969,01-07-1996,,0,0,0,0,0,100,100,100,0,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,100,115,0,11,12,16,60,75,60,45,65,65,60,60,55,0,0,0,75,55,60,65,50,60,60,65,70,60
Christian Skafte,Denmark,20,Aalb. Chang,0,0,,,,18-9-1975,01-07-1996,,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,2,2,0,0,2,2,94,105,0,10,10,14,45,40,50,50,45,40,65,55,50,30,0,0,45,40,45,60,35,50,55,40,45,60
Kasper Svendsen,Denmark,18,Aalb. Chang,0,0,,,,23-10-1977,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars S?lvkj?r,Denmark,25,Aalb. Chang,0,0,,,,10-10-1970,01-07-1996,,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,91,121,0,9,8,8,40,45,45,40,40,40,45,45,50,30,0,0,35,40,55,45,55,40,40,40,45,55
Kim Tengstedt,Denmark,28,Aalb. Chang,0,0,,,,21-2-1968,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,83,114,0,8,7,14,40,45,35,70,65,40,30,40,35,15,0,0,35,40,40,45,40,40,50,45,40,40
Michael Andersen,Denmark,23,Aalb. Chang,0,0,,,,22-6-1973,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RenÇ Tengstedt,Denmark,22,Aalb. Chang,0,0,,,,1-1-19        ,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,95,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Tengstedt,Denmark,21,Aalb. Chang,0,0,,,,15-5-1975,01-07-1996,,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,103,127,0,15,15,16,70,40,65,40,50,50,70,40,40,25,0,0,50,75,60,70,40,90,50,80,65,85
Claus Vestergaard,Denmark,22,Aalb. Chang,0,0,,,,20-5-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Zimmer,Denmark,27,Aalb. Chang,0,0,,,,8-7-1968,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,87,109,0,8,6,6,45,45,35,45,45,40,40,45,45,25,0,0,40,35,45,40,55,45,45,45,40,40
Torben Andersen,Denmark,18,Aalb. Chang,0,0,,,,30-11-1977,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Christensen,Denmark,29,Aalb. Chang,0,0,,,,26-7-1966,01-07-1996,,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,2,2,0,2,2,2,93,105,0,9,8,10,45,45,50,55,45,40,40,45,35,0,0,0,45,40,40,40,40,50,50,65,50,60
Mikael Drejer,Denmark,22,Aalb. Chang,0,0,,,,15-2-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,2,2,2,2,2,89,126,0,11,12,16,45,50,50,40,50,45,35,45,50,0,0,0,45,40,40,50,45,40,50,40,45,55
Henrik Fisher,Denmark,30,Aalb. Chang,0,0,,,,28-6-1966,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,93,97,0,13,10,12,50,50,50,40,50,60,50,40,45,85,0,0,50,65,50,60,60,55,50,50,70,65
Lasse Harbo Larsen,Denmark,21,Aalb. Chang,0,0,,,,17-7-1974,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Hermansen,Denmark,20,Aalb. Chang,0,0,,,,1-4-1976,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,91,133,0,12,8,14,55,55,60,60,50,45,40,50,50,55,0,0,60,50,45,65,40,70,50,65,50,75
Jesper Hjort,Denmark,26,Aalb. Chang,0,0,,,,8-11-1969,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,96,121,0,14,15,8,55,45,50,35,65,60,40,40,45,50,0,0,60,50,35,40,40,50,50,65,50,65
Johnny H. Nielsen,Denmark,20,Aalborg Chang,0,0,7,,,22-2-1976,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,107,133,0,13,17,8,75,60,85,35,95,85,80,30,65,0,0,60,90,65,35,50,85,85,60,60,80,85
Eirik Birkevold,Norway,19,Aalesund,0,0,,,,24-10-1976,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,102,99,0,11,14,8,85,70,35,75,50,80,35,15,60,0,0,5,50,65,75,70,40,65,40,75,10,40
Bj?rn-Tore Hansen,Norway,21,Aalesund,0,0,,,,6-6-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,87,107,0,15,15,7,55,55,60,70,65,60,40,45,60,0,0,45,70,75,50,60,80,55,55,65,60,35
Glenn Hartmann,Norway,23,Aalesund,0,0,,,,2-5-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,106,151,0,10,7,8,70,35,80,65,95,75,90,30,70,100,0,5,65,50,50,45,70,70,15,75,20,85
Kristian Klausen,Norway,25,Aalesund,0,0,,,,19-2-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,2,0,2,2,76,122,0,12,10,15,65,70,55,65,45,75,45,95,70,0,0,30,65,60,60,55,85,55,10,70,5,85
Frank Mathiesen,Norway,26,Aalesund,0,0,,,,13-7-1969,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,105,132,0,12,15,5,55,20,40,60,50,60,30,15,60,0,0,90,50,55,60,45,50,55,60,55,80,40
Kai Birger Myrold,Norway,26,Aalesund,0,0,10,10,,4-4-1970,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,80,80,50,10,5,12,60,75,5,5,25,60,60,50,50,75,0,60,50,60,75,50,60,40,40,50,5,40
Trond Olsen,Norway,19,Aalesund,0,0,10,10,,31-8-1976,01-07-1996,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,70,70,40,10,5,10,25,35,50,25,25,5,25,25,50,75,0,25,5,50,5,50,60,25,40,40,5,5
Amund Skiri,Norway,18,Aalesund,0,0,,,,25-2-1978,01-07-1996,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,87,165,0,12,6,12,65,50,60,70,30,25,50,50,75,0,0,15,55,70,65,75,55,50,35,75,20,40
P?l Stadsnes,Norway,23,Aalesund,0,0,,,,11-2-1973,01-07-1996,,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,2,2,0,0,2,2,96,120,0,11,13,10,55,40,30,75,40,55,20,15,50,0,0,35,55,75,50,55,50,75,10,65,15,25
Tom E. Str?mmen,Norway,19,Aalesund,0,0,10,10,,5-1-1977,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,70,70,50,2,12,15,5,75,90,5,70,15,60,25,25,50,0,50,5,50,25,25,20,25,25,40,75,100
Brian Str?msholm,Norway,23,Aalesund,0,0,,,,20-10-1972,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,38,67,0,7,16,13,50,50,55,50,35,20,70,55,30,70,0,25,40,30,45,60,75,40,10,25,40,15
Dag-Petter Breivik,Norway,26,Aalesund,0,0,,,,31-5-1970,01-07-1996,,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,114,137,0,10,9,12,50,55,50,65,40,50,40,60,70,40,0,25,65,55,55,55,65,55,30,65,20,75
Kenneth Sunde,Norway,20,Aalesund,0,0,10,10,,22-4-1976,01-07-1996,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,70,70,50,5,1,10,25,50,75,25,50,50,50,50,60,75,0,0,25,50,60,40,60,25,40,75,25,60
Roy-Magne Sunde,Norway,22,Aalesund,0,0,,,,21-7-1973,01-07-1996,,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,43,88,0,8,10,11,50,45,35,25,95,30,85,35,50,85,0,25,50,50,35,45,25,30,30,45,15,60
Johnny Vatt?y,Norway,24,Aalesund,0,0,,,,12-10-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,2,2,0,2,88,97,0,4,10,10,50,45,45,30,50,55,95,50,30,0,0,45,45,50,40,40,90,50,40,45,25,90
Erling Ytterland,Norway,29,Aalesund,0,0,,,,13-12-1966,01-07-1996,,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,91,122,0,14,10,10,60,35,75,75,15,60,90,85,55,0,0,50,70,50,70,50,45,65,35,50,30,75
Christian Bus?t,Norway,23,Aalesund,0,0,,,,18-4-1973,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,74,114,0,11,14,8,65,35,35,75,50,30,35,15,60,0,0,5,50,65,75,70,40,65,5,60,10,40
Rune Dyb,Norway,16,Aalesund,0,0,10,10,,6-9-1979,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,50,20,1,3,3,25,45,0,10,15,0,60,25,5,25,0,40,0,30,0,25,0,25,25,0,0,30
Herman Ekeberg,Norway,24,Aalesund,0,0,,,,14-3-1972,01-07-1996,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,116,138,0,15,14,10,75,30,75,70,30,40,85,35,55,0,0,10,65,75,65,75,95,60,5,60,10,90
Arnt Vidar Fiskerstrand,Norway,23,Aalesund,0,0,,,,19-2-1973,01-07-1996,,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,80,116,0,12,7,17,50,60,40,70,50,70,45,60,70,0,0,35,75,60,55,40,55,60,40,50,35,90
Trond Fredriksen,Norway,19,Aalesund,0,0,,,,21-5-1977,01-07-1996,,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,2,2,0,0,2,0,78,93,0,7,13,6,50,20,30,50,25,60,35,15,30,0,0,25,25,40,50,25,40,25,70,50,90,30
Petter Hagen,Norway,26,Aalesund,0,0,,,,8-9-1969,01-07-1996,,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,79,125,0,5,15,8,45,40,50,30,25,20,55,50,50,0,0,45,50,30,30,65,45,25,50,25,45,10
Jan Erik Halkjelsvik,Norway,29,Aalesund,0,0,4,4,,10-5-1967,01-07-1996,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,120,110,14,10,4,10,55,65,75,60,25,40,45,50,65,50,0,50,55,70,25,65,30,60,65,65,15,60
Philippe Vande Walle,Belgium,34,Aalst,4,0,12,,,22-12-1961,01-07-1996,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,146,151,135,14,7,20,65,30,45,80,70,100,100,35,45,0,0,60,70,90,95,70,50,90,55,70,55,85
Florian Urban,Hungary,27,Aalst,0,0,9,,,29-7-1968,01-07-1996,,0,50,50,50,100,100,100,100,100,100,50,50,50,0,0,0,0,0,1,2,2,1,0,1,1,2,135,140,115,18,13,5,65,70,65,70,0,70,35,45,0,55,0,65,0,60,45,40,80,50,30,25,80,60
Ivo Georgiev,Bulgaria,24,Aarau,1,1,,,,12-5-1972,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,2,0,-1,0,0,0,0,0,0,0,90,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Moritz Gnehm,Switzerland,23,Aarau,0,0,,,,1-4-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
Marcel Heldmann,Switzerland,27,Aarau,0,0,,,,1-1-1969,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Marc Hodel,Switzerland,22,Aarau,0,0,,,,1-11-1973,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Kilian,Switzerland,20,Aarau,0,0,,,,1-9-1975,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Christof Oldani,Switzerland,21,Aarau,0,0,,,,1-8-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Frederic Page,Switzerland,28,Aarau,0,0,,,,1-8-1967,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Saibene,Switzerland,21,Aarau,0,0,,,,1-8-1974,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Remo Senn,Switzerland,24,Aarau,0,0,,,,1-12-1971,01-07-1996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
