Player ID;Fullname;Nationality;Age;Club;ClubID;Caps;Goals;Date Joined;Contract Ends;Column1;Birthsday;Start year;Best position;Goalkeeper;Defender Central;Defender Right;Defender Left;Wingback right;Wingback left;Defensive midfielder;Midfielder Central;Midfielder right;Midfielder left;Attacking Midfielder Central;Attacking Midfielder right;Attacking Midfielder left;Center Forward;Right Forward;Left Forward;Ability;Potential;Reputation;Big Occasion;Character;Consistency;Technique;Passing;Heading;Shooting;Flair;Dribbling;Tackling;Stamina;Strength;Pace;Jumping;Inj Prone %;Set Pieces;Positioning;Off The Ball;Marking;Creativity;Adaptability;Aggression;Determination;Dirtyness;Influence
14;Henrik Rasmussen;Denmark;28;AaB;1;0;0;;;;13-06-1968;01-07-1996;AMC;0;0;0;0;0;0;0;100;100;0;100;100;0;0;0;0;105;131;0;12;12;12;11;11;10;11;12;12;9;10;9;0;9,5;0;18;9;12;10;15;11;11;12;10;10
15;Ib Simonsen;Denmark;32;AaB;1;0;0;;;;03-04-1964;01-07-1996;DR;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;110;149;0;10;11;14;11;10;13;8;10;10;14;9;9;7;11;0;10;12;10;12;11;10;10;15;13;18
16;Jesper Borup;Denmark;18;AaB;1;0;0;;;;25-10-1977;01-07-1996;MC;0;0;0;0;0;0;0;100;100;100;0;0;0;0;0;0;91;125;0;13;18;14;6;17;17;14;15;15;7;8;16;0;16,5;10;10;18;13;12;15;11;12;14;12;19
17;Thomas Thomasberg;Denmark;21;AaB;1;0;0;;;;15-10-1974;01-07-1996;AMC;0;0;0;0;0;0;0;100;100;0;100;100;0;0;0;0;116;152;0;8;8;12;9;9;12;14;9;9;8;15;11;0;11,5;4;8;12;13;8;14;14;12;9;9;7
18;Lars Thomsen;Denmark;24;AaB;1;0;0;;;;27-04-1972;01-07-1996;MC;0;0;0;0;0;100;100;100;0;100;0;0;0;0;0;0;114;131;0;0;10;12;10;10;12;9;7;9;14;13;11;9;11,5;0;9;10;11;10;9;9;11;11;13;8
19;Peter Tranberg;Denmark;17;AaB;1;0;0;;;;28-07-1978;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;90;128;0;13;14;17;13;15;13;10;7;19;12;11;6;0;9,5;0;15;12;6;12;13;9;10;12;14;15
20;Lars Winde;Denmark;20;AaB;1;0;0;;;;03-12-1975;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;127;0;10;11;16;13;9;13;0;0;0;13;11;10;10;11,5;0;11;12;11;0;10;10;10;11;12;10
21;Torben Boye;Denmark;30;AaB;1;0;0;;;;02-05-1966;01-07-1996;DC;0;100;100;100;100;100;100;0;0;0;0;0;0;0;0;0;120;126;0;0;10;12;12;10;17;10;10;10;15;12;14;0;15,5;0;10;12;12;13;10;0;11;13;13;15
22;Thomas B?lum;Denmark;18;AaB;1;0;0;;;;05-06-1978;01-07-1996;ML;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;102;-1;0;13;18;9;4;15;6;12;10;13;18;16;9;12;7,5;9;9;14;18;15;12;6;12;12;18;14
23;Calle Facius;Denmark;25;AaB;1;0;0;;;;01-01-1971;01-07-1996;MC;0;0;0;0;100;0;100;100;100;0;0;0;0;0;0;0;108;118;0;9;9;14;10;10;12;9;10;10;12;12;11;0;11,5;0;10;11;12;13;10;13;13;13;14;10
24;S?ren Frederiksen;Denmark;24;Aab;1;0;0;;;;21-01-1972;01-07-1996;FR;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;118;135;0;6;7;12;10;11;11;14;13;13;9;13;9;17;10;0;9;10;8;8;12;7;9;15;8;6
25;Allan Gaarde;Denmark;21;Aab;1;0;0;7;;;25-01-1975;01-07-1996;DC;0;100;0;0;0;0;50;100;0;0;50;0;0;100;0;0;85;125;0;12;8;14;11;11;12;12;10;9;8;10;10;12;11;0;12;10;9;13;8;14;10;13;10;15
26;Jesper Gr?nkj?r;Denmark;18;AaB;1;0;0;;;;12-08-1977;01-07-1996;AML;0;0;0;0;0;0;0;0;0;100;0;50;100;0;50;100;129;-1;130;16;18;19;15;14;19;11;17;16;8;12;14;17;16,5;0;12;20;13;9;16;15;12;13;10;14
27;Steffen H?jer;Denmark;23;AaB;1;1;0;;;;22-05-1973;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;50;50;0;100;100;0;124;144;110;14;10;15;12;12;13;15;10;12;10;16;14;0;13,5;5;10;11;13;9;14;11;12;9;6;10
28;Henry Heeren;Netherlands;21;Aachen;2;0;0;;;;25-10-1974;01-07-1996;ML;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;109;112;81;3;17;9;2;9;13;0;2;3;13;8;17;0;15;9;3;14;6;5;3;12;3;0;12;7
29;Martin Andersen;Denmark;23;Aalb. Chang;3;0;0;;;;31-03-1973;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;81;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
30;Kenneth Hofmann;Denmark;21;Aalb. Chang;3;0;0;;;;30-10-1974;01-07-1996;AML;0;0;0;0;0;0;0;100;0;100;100;0;100;0;0;0;92;99;0;10;10;14;9;8;10;10;9;8;13;11;10;17;10;0;9;8;9;12;7;10;11;8;9;12
31;Peter Hove;Denmark;20;Aalb. Chang;3;0;0;;;;10-06-1976;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
32;Michael Larsen;Denmark;21;Aalb. Chang;3;0;0;;;;03-02-1975;01-07-1996;AMC;0;0;0;0;0;0;0;100;100;0;100;100;0;0;0;0;87;117;0;13;9;12;10;8;9;9;9;12;10;11;10;0;9,5;0;11;9;8;9;9;9;10;11;10;10
33;Claus Ottosen;Denmark;29;Aalb. Chang;3;0;0;;;;23-02-1967;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
34;Kim Sand;Denmark;24;Aalb. Chang;3;0;0;;;;28-02-1972;01-07-1996;AMR;0;0;0;0;0;0;0;100;100;100;100;100;100;0;0;0;86;98;0;13;10;4;9;8;8;10;9;10;11;9;10;14;9;0;8;8;8;10;7;8;10;12;10;9
35;Jesper Schau;Denmark;27;Aalb. Chang;3;0;0;;;;10-05-1969;01-07-1996;MC;0;0;0;0;0;100;100;100;0;100;0;0;0;0;0;0;100;115;0;11;12;16;12;15;12;9;13;13;12;12;11;0;11,5;0;15;11;12;13;10;12;12;13;14;12
36;Christian Skafte;Denmark;20;Aalb. Chang;3;0;0;;;;18-09-1975;01-07-1996;MC;0;0;0;0;0;0;0;100;0;100;100;0;100;0;0;0;94;105;0;10;10;14;9;8;10;10;9;8;13;11;10;6;10;0;9;8;9;12;7;10;11;8;9;12
37;Kasper Svendsen;Denmark;18;Aalb. Chang;3;0;0;;;;23-10-1977;01-07-1996;DL;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Lars S?lvkj?r;Denmark;25;Aalb. Chang;3;0;0;;;;10-10-1970;01-07-1996;DC;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;91;121;0;9;8;8;8;9;9;8;8;8;9;9;10;6;9,5;0;7;8;11;9;11;8;8;8;9;11
39;Kim Tengstedt;Denmark;28;Aalb. Chang;3;0;0;;;;21-02-1968;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;83;114;0;8;7;14;8;9;7;14;13;8;6;8;7;3;7;0;7;8;8;9;8;8;10;9;8;8
40;Michael Andersen;Denmark;23;Aalb. Chang;3;0;0;;;;22-06-1973;01-07-1996;DC;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
41;Ren? Tengstedt;Denmark;22;Aalb. Chang;3;0;0;;;;01-01-2019;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;95;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
42;Thomas Tengstedt;Denmark;21;Aalb. Chang;3;0;0;;;;15-05-1975;01-07-1996;MC;0;0;0;0;100;100;100;100;100;100;0;0;0;0;0;0;103;127;0;15;15;16;14;8;13;8;10;10;14;8;8;5;10,5;0;10;15;12;14;8;18;10;16;13;17
43;Claus Vestergaard;Denmark;22;Aalb. Chang;3;0;0;;;;20-05-1974;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
44;Jens Zimmer;Denmark;27;Aalb. Chang;3;0;0;;;;08-07-1968;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;87;109;0;8;6;6;9;9;7;9;9;8;8;9;9;5;8;0;8;7;9;8;11;9;9;9;8;8
45;Torben Andersen;Denmark;18;Aalb. Chang;3;0;0;;;;30-11-1977;01-07-1996;DR;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Ken Christensen;Denmark;29;Aalb. Chang;3;0;0;;;;26-07-1966;01-07-1996;MC;0;0;0;0;0;0;0;100;100;100;100;100;100;0;0;0;93;105;0;9;8;10;9;9;10;11;9;8;8;9;7;0;8,5;0;9;8;8;8;8;10;10;13;10;12
47;Mikael Drejer;Denmark;22;Aalb. Chang;3;0;0;;;;15-02-1974;01-07-1996;AMC;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;89;126;0;11;12;16;9;10;10;8;10;9;7;9;10;0;10;0;9;8;8;10;9;8;10;8;9;11
48;Henrik Fisher;Denmark;30;Aalb. Chang;3;0;0;;;;28-06-1966;01-07-1996;DC;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;93;97;0;13;10;12;10;10;10;8;10;12;10;8;9;17;9,5;0;10;13;10;12;12;11;10;10;14;13
49;Lasse Harbo Larsen;Denmark;21;Aalb. Chang;3;0;0;;;;17-07-1974;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
50;Jacob Hermansen;Denmark;20;Aalb. Chang;3;0;0;;;;01-04-1976;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;91;133;0;12;8;14;11;11;12;12;10;9;8;10;10;11;11;0;12;10;9;13;8;14;10;13;10;15
51;Jesper Hjort;Denmark;26;Aalb. Chang;3;0;0;;;;08-11-1969;01-07-1996;DR;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;96;121;0;14;15;8;11;9;10;7;13;12;8;8;9;10;9,5;0;12;10;7;8;8;10;10;13;10;13
52;Johnny H. Nielsen;Denmark;20;Aalborg Chang;4;0;0;7;;;22-02-1976;01-07-1996;DC;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;107;133;0;13;17;8;15;12;17;7;19;17;16;6;13;0;15;12;18;13;7;10;17;17;12;12;16;17
53;Eirik Birkevold;Norway;19;Aalesund;5;0;0;;;;24-10-1976;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;102;99;0;11;14;8;17;14;7;15;10;16;7;3;12;0;9,5;1;10;13;15;14;8;13;8;15;2;8
54;Bj?rn-Tore Hansen;Norway;21;Aalesund;5;0;0;;;;06-06-1975;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;87;107;0;15;15;7;11;11;12;14;13;12;8;9;12;0;12;9;14;15;10;12;16;11;11;13;12;7
55;Glenn Hartmann;Norway;23;Aalesund;5;0;0;;;;02-05-1973;01-07-1996;ML;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;106;151;0;10;7;8;14;7;16;13;19;15;18;6;14;20;15;1;13;10;10;9;14;14;3;15;4;17
56;Kristian Klausen;Norway;25;Aalesund;5;0;0;;;;19-02-1971;01-07-1996;FL;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;76;122;0;12;10;15;13;14;11;13;9;15;9;19;14;0;12,5;6;13;12;12;11;17;11;2;14;1;17
57;Frank Mathiesen;Norway;26;Aalesund;5;0;0;;;;13-07-1969;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;132;0;12;15;5;11;4;8;12;10;12;6;3;12;0;10;18;10;11;12;9;10;11;12;11;16;8
58;Kai Birger Myrold;Norway;26;Aalesund;5;0;0;10;10;;04-04-1970;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;80;80;50;10;5;12;12;15;1;1;5;12;12;10;10;15;5,5;12;10;12;15;10;12;8;8;10;1;8
59;Trond Olsen;Norway;19;Aalesund;5;0;0;10;10;;31-08-1976;01-07-1996;DR;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;40;10;5;10;5;7;10;5;5;1;5;5;10;15;10;5;1;10;1;10;12;5;8;8;1;1
60;Amund Skiri;Norway;18;Aalesund;5;0;0;;;;25-02-1978;01-07-1996;DC;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;87;165;0;12;6;12;13;10;12;14;6;5;10;10;15;0;13,5;3;11;14;13;15;11;10;7;15;4;8
61;P?l Stadsnes;Norway;23;Aalesund;5;0;0;;;;11-02-1973;01-07-1996;AMC;0;0;0;0;0;0;0;100;0;100;100;0;100;0;0;0;96;120;0;11;13;10;11;8;6;15;8;11;4;3;10;0;8;7;11;15;10;11;10;15;2;13;3;5
62;Tom E. Str?mmen;Norway;19;Aalesund;5;0;0;10;10;;05-01-1977;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;50;2;12;15;1;15;18;1;14;3;12;5;5;10;11,5;10;1;10;5;5;4;5;5;8;15;20
63;Brian Str?msholm;Norway;23;Aalesund;5;0;0;;;;20-10-1972;01-07-1996;DR;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;38;67;0;7;16;13;10;10;11;10;7;4;14;11;6;14;8,5;5;8;6;9;12;15;8;2;5;8;3
64;Dag-Petter Breivik;Norway;26;Aalesund;5;0;0;;;;31-05-1970;01-07-1996;MC;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;114;137;0;10;9;12;10;11;10;13;8;10;8;12;14;8;12;5;13;11;11;11;13;11;6;13;4;15
65;Kenneth Sunde;Norway;20;Aalesund;5;0;0;10;10;;22-04-1976;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;70;70;50;5;1;10;5;10;15;5;10;10;10;10;12;15;13,5;0;5;10;12;8;12;5;8;15;5;12
66;Roy-Magne Sunde;Norway;22;Aalesund;5;0;0;;;;21-07-1973;01-07-1996;DC;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;43;88;0;8;10;11;10;9;7;5;19;6;17;7;10;17;8,5;5;10;10;7;9;5;6;6;9;3;12
67;Johnny Vatt?y;Norway;24;Aalesund;5;0;0;;;;12-10-1971;01-07-1996;FR;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;88;97;0;4;10;10;10;9;9;6;10;11;19;10;6;0;7,5;9;9;10;8;8;18;10;8;9;5;18
68;Erling Ytterland;Norway;29;Aalesund;5;0;0;;;;13-12-1966;01-07-1996;MC;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;91;122;0;14;10;10;12;7;15;15;3;12;18;17;11;0;13;10;14;10;14;10;9;13;7;10;6;15
69;Christian Bus?t;Norway;23;Aalesund;5;0;0;;;;18-04-1973;01-07-1996;DC;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;114;0;11;14;8;13;7;7;15;10;6;7;3;12;0;9,5;1;10;13;15;14;8;13;1;12;2;8
70;Rune Dyb;Norway;16;Aalesund;5;0;0;10;10;;06-09-1979;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;20;1;3;3;5;9;0;2;3;0;12;5;1;5;0,5;8;0;6;0;5;0;5;5;0;0;6
71;Herman Ekeberg;Norway;24;Aalesund;5;0;0;;;;14-03-1972;01-07-1996;DR;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;116;138;0;15;14;10;15;6;15;14;6;8;17;7;11;0;13;2;13;15;13;15;19;12;1;12;2;18
72;Arnt Vidar Fiskerstrand;Norway;23;Aalesund;5;0;0;;;;19-02-1973;01-07-1996;AMC;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;80;116;0;12;7;17;10;12;8;14;10;14;9;12;14;0;11;7;15;12;11;8;11;12;8;10;7;18
73;Trond Fredriksen;Norway;19;Aalesund;5;0;0;;;;21-05-1977;01-07-1996;AML;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;78;93;0;7;13;6;10;4;6;10;5;12;7;3;6;0;6;5;5;8;10;5;8;5;14;10;18;6
74;Petter Hagen;Norway;26;Aalesund;5;0;0;;;;08-09-1969;01-07-1996;DR;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;79;125;0;5;15;8;9;8;10;6;5;4;11;10;10;0;10;9;10;6;6;13;9;5;10;5;9;2
75;Jan Erik Halkjelsvik;Norway;29;Aalesund;5;0;0;4;4;;10-05-1967;01-07-1996;DC;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;110;14;10;4;10;11;13;15;12;5;8;9;10;13;10;14;10;11;14;5;13;6;12;13;13;3;12
76;Philippe Vande Walle;Belgium;34;Aalst;6;4;0;12;;;22-12-1961;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;151;135;14;7;20;13;6;9;16;14;20;20;7;9;0;9;12;14;18;19;14;10;18;11;14;11;17
77;Florian Urban;Hungary;27;Aalst;6;0;0;9;;;29-07-1968;01-07-1996;MC;0;50;50;50;100;100;100;100;100;100;50;50;50;0;0;0;135;140;115;18;13;5;13;14;13;14;0;14;7;9;0;11;6,5;13;0;12;9;8;16;10;6;5;16;12
78;Ivo Georgiev;Bulgaria;24;Aarau;7;1;1;;;;12-05-1972;01-07-1996;FC;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;-1;0;0;0;0;0;0;0;18;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
79;Moritz Gnehm;Switzerland;23;Aarau;7;0;0;;;;01-04-1973;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0
80;Marcel Heldmann;Switzerland;27;Aarau;7;0;0;;;;01-01-1969;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0
81;Marc Hodel;Switzerland;22;Aarau;7;0;0;;;;01-11-1973;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0
82;Bernd Kilian;Switzerland;20;Aarau;7;0;0;;;;01-09-1975;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0
83;Christof Oldani;Switzerland;21;Aarau;7;0;0;;;;01-08-1974;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;0;0;0;0;0;0;0;0;0;0
84;Frederic Page;Switzerland;28;Aarau;7;0;0;;;;01-08-1967;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;0;0;0;0;0;0;0;0;0;0
85;Jeff Saibene;Switzerland;21;Aarau;7;0;0;;;;01-08-1974;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0
86;Remo Senn;Switzerland;24;Aarau;7;0;0;;;;01-12-1971;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0
87;Beat Studer;Switzerland;#VALUE!;Aarau;7;0;0;;;;1-   -1976;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0
88;Andre Wiederkehr;Switzerland;28;Aarau;7;0;0;;;;01-05-1968;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0
89;Mirko Pavlicevic;Croatia;34;Aarau;7;0;0;;;;01-10-1961;01-07-1996;DL;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;134;0;106;8;3;9;13;9;11;7;9;9;12;12;0;3;5,5;13;9;9;0;15;12;0;4;9;7;12
90;Davide Zitola;Switzerland;#VALUE!;Aarau;7;0;0;;;;1-   -1973;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;14;0;0;0;0;0;0;0;0;0;0;0
91;Sascha Kirik;Macedonia;23;Aarau;7;0;0;;;;01-10-1972;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0
92;Dariusz Skrzypczak;Poland;26;Aarau;7;0;0;;;;01-01-1970;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;14;0;0;0;0;0;0;0;0;0;0;0
93;David Bader;Switzerland;22;Aarau;7;0;0;;;;01-07-1974;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;14;0;0;0;0;0;0;0;0;0;0;0
94;Ivan Benito;Switzerland;31;Aarau;7;0;0;;;;01-02-1965;01-07-1996;GK;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0
95;Renato Brugnoli;Switzerland;26;Aarau;7;0;0;;;;01-04-1970;01-07-1996;GK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;14;0;0;0;0;0;0;0;0;0;0;0
